EpochStart,EpochEnd,report_intensity,reports_dispersion,wind_speed,wind_dir_sin,wind_dir_cos,wind_std_dir,so2_avg,so2_top,h2s_avg,h2s_top
1477935134,1478021534,-0.1574370519100164,-1.5783012308151192,-1.252415755586384,0.2803206705863109,-0.22281646741191335,1.0249868078996036,-0.3615394909950397,0.0004619516455842877,-0.5595657527482787,-0.41048623840211396
1477953134,1478039534,-0.15156438039211365,-1.6451464543664551,-1.0323005748677019,0.36336334628434824,-0.15643304206471764,0.5108904615493755,-0.1222128669407838,0.0876507459337301,-0.4471865949788669,-0.3795453412854804
1477971134,1478057534,-0.08696499369518337,-2.0203383482768507,-0.9517706307023303,0.3512903859056314,-0.16477689261228556,0.3056170853050172,0.7667145938321664,1.0031330859592604,0.08877554207525083,0.20833170393055703
1477989134,1478075534,-0.11632835128469714,-2.001268008597736,-0.8842149553191575,0.3505201709871257,-0.1715115006031116,0.27809949801940176,1.8322878961689724,1.133916277391479,0.8581405452658393,0.486799777980259
1478007134,1478093534,1.3166034990835742,-2.296753288402605,-0.7227076784097182,0.5629012063104846,-0.2650603228261972,-0.26012364287034884,2.5445695153780674,1.1993078731075884,1.2990126257458394,0.486799777980259
1478025134,1478111534,1.0758239668495613,-2.2487458643436886,-0.5352518639358816,0.5862320410076619,-0.2567573077968448,-0.2606453032928239,2.5217765035633763,1.1993078731075884,1.3768135811246633,0.486799777980259
1478043134,1478129534,1.1345506820285889,-2.1738897429248607,-0.49453950327449947,0.5822025377852542,-0.21599727652220202,-0.24290884892863657,2.288148132462793,1.1993078731075884,1.2144463698992922,0.486799777980259
1478061134,1478147534,1.0640786238137558,-2.121390762797339,-0.4292207707848089,0.621659984247086,-0.2050174755397521,-0.5236925713264148,2.664232827405196,1.7006434402644264,1.3948543823719264,0.6724451606800602
1478079134,1478165534,1.034715266224242,-2.1795499307739807,-0.1361812517385964,0.6409143227040927,-0.1752945086380546,-0.8948539619181836,2.8636716807837423,2.3109650002814472,1.1332627642866064,0.6724451606800602
1478097134,1478183534,-0.4686886423588622,-2.0219169444112093,0.23649343431559428,0.590679039579951,0.538486240504115,-0.8361671643896175,2.3109411442774843,2.3109650002814472,0.7093039349759163,0.6724451606800602
1478115134,1478201534,-0.5861420727169172,-2.1116319769354246,0.3210498756892346,0.6055461936868527,0.47017211685394944,-0.8647280725201859,2.0516706348853733,2.3109650002814472,0.6247376791293685,0.6724451606800602
1478133134,1478219534,-0.6213781018243337,-1.3814094554850471,0.3988954883824268,0.32516190341759776,0.4080711124413693,-0.6550205826847801,1.6812841928966444,2.3109650002814472,0.48642486956701564,0.6724451606800602
1478151134,1478237534,-0.6507414594138475,-1.3301459298503904,0.4422921805159881,0.2788288394940366,0.600743131708609,-0.6944059445817296,0.22253143675641818,1.9840070217009007,-0.32616288661180803,0.2392726010471906
1478169134,1478255534,-0.6742321454854585,-1.2237049019246096,0.10719813507230379,0.2788288394940366,0.600743131708609,-0.43422780887175766,-0.7746628301363147,-0.7842371969477276,-0.6978785623106317,-0.7817770038017166
1478187134,1478273534,-0.7388315321823887,-0.49211999482595414,-0.18315705250172945,-0.8243172756179731,0.404198609129463,-0.21473918611492435,-0.8173997272888605,-0.8714259912358734,-0.6978785623106317,-0.7817770038017166
1478205134,1478291534,-0.732958860664486,-0.666191905013502,-0.3137945174811099,-0.7807348582829289,0.44992102842658505,-7.592226599643099e-05,-0.8173997272888605,-0.8714259912358734,-0.6978785623106317,-0.7817770038017166
1478223134,1478309534,-0.7270861891465833,0.4326721126917209,-0.4363789880439532,-0.6678878945303293,0.5177502917973429,-0.16531186108531126,-0.7946067154741694,-0.8060343955197641,-0.6892340117129846,-0.7508361066850829
1478241134,1478327534,-0.7035955030749723,0.3654474579624066,-0.6045970936338402,-0.6167308281636826,0.4284116859278937,0.2709266672103548,-0.08802334921874719,0.6979723059507504,0.0023300360987802055,0.4558588808636254
1478259134,1478345534,-0.5802694011990145,-0.6854463492715317,-0.684679649220515,-0.06637188759115269,-0.012223722550858171,0.21823896454026442,0.2196823102795819,0.6979723059507504,0.8581405452658393,0.6724451606800602
1478277134,1478363534,-0.09283766521308613,-0.6531299649700878,-0.7871316337420156,0.2548886990796034,-0.008025926785009544,0.03735321304666651,0.5615774874999472,0.6979723059507504,1.2990126257458394,0.7343269549133273
1478295134,1478381534,-0.08109232217728063,-0.7359931346780975,-0.7491036045528124,0.2859372207920019,0.0020718126206972815,-0.10858129014103172,0.6014652581756567,0.6979723059507504,1.2990126257458394,0.7343269549133273
1478313134,1478399534,-0.06347430762357237,-0.9568954867363163,-0.6511255058182772,0.3233379084768576,0.023218608973602412,0.022094645689239054,0.641353028851366,0.6979723059507504,1.3249462775387806,0.7343269549133273
1478331134,1478417534,-0.08696499369518337,-1.0395867351044397,-0.5330149210423988,0.34785259084932274,0.021623987191052595,-0.3722806337027171,2.0773127731769017,3.509810921743451,1.2990126257458394,0.7343269549133273
1478349134,1478435534,-0.2631451392322659,-0.7129536681473858,-0.5491209098754734,0.21196335253538257,0.11731796687673614,-0.11757993242874573,2.9149559573667974,3.509810921743451,1.2212116703670162,0.6105633664467931
1478367134,1478453534,-0.09871033673098888,-2.36621997499262,-0.7643148162284935,0.24039520845632503,0.13821115798651734,0.3146157275927312,3.3708161936606182,3.509810921743451,1.3163017269411337,0.5796224693301595
1478385134,1478471534,-0.09283766521308613,-2.0107756856098575,-1.0882241472047653,0.18995334238148343,0.07435931207101486,0.7152509320544003,3.473384746826728,3.509810921743451,1.3335908281364277,0.5796224693301595
